razon_social,n_concesiones,hectareas_totales,departamentos,provincias,estados_concesion,sustancias,dominio_corporativo,nombre_decisor,cargo,correo_corporativo,telefono_empresarial,fuente_dato,servicio_potencial,ultima_interaccion
CASABLANCA DEL NORTE S.R.L.,1,800.0,PIURA,HUANCABAMBA,EXTINGUIDO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
IMERYS MINERALES PERU S.A.C.,1,3400.0,PIURA,PAITA,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
RIO ANDINA S.A.C,1,800.0,PIURA,PIURA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. CHIRA UNO,1,300.0,PIURA,SULLANA,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
MINERA PITAY S.A.C.,1,200.0,PIURA,PIURA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
EXAMOVA MAQUINARIAS Y SERVICIOS E.I.R.L.,1,200.0,PIURA,SULLANA,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
INVERSIONES LOZADI S.A.C.,1,500.0,PIURA,AYABACA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
COMPAÑIA MINERA YURICHAN S.A.C,1,400.0,PIURA,AYABACA /  SULLANA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. FILONES DORADOS II,1,800.0,PIURA,SULLANA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
CONSTRUCTORA JAS S.A.C.,1,600.0,PIURA,AYABACA,EXTINGUIDO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
EXC TRADING S.A.C.,1,300.0,PIURA,AYABACA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. LOMA VERDE,1,400.0,PIURA,PIURA,TRAMITE,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
LL MAQUINARIA E.I.R.L.,1,200.0,PIURA,TALARA,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
PERU INVER CONSTRUTION SOCIEDAD COMERCIAL RESPONSABILIDAD LI,1,100.0,PIURA,SECHURA,TRAMITE,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
B LEOPOLDO SERVICIOS GENERALES SOCIEDAD ANONIMA CERRADA,1,200.0,PIURA,SECHURA,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
EMPRESA GEINER EDGAR ESPINOZA FERNANDEZ EIRL,1,200.0,PIURA,PIURA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
SOCIEDAD MINERA RUJEL MURGUIA AVALOS SAC.,1,100.0,PIURA,AYABACA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
CORPORACIÓN MINERA DOÑA MAXI S.R.L,1,200.0,PIURA,SECHURA,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
K'AXAY E.I.R.L.,1,100.0,PIURA,PIURA,TRAMITE,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
J&R ASOCIADOS LUHAN SOCIEDAD ANONIMA CERRADA,1,100.0,PIURA,PAITA,TRAMITE,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
CONSORCIO MINERO VIRGEN DE CHAPI SAC,1,900.0,PIURA,PIURA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
SERVYTRANSP PERU E.I.R.L,1,400.0,PIURA,TALARA,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
ECORE TRADING S.A.C.,1,200.0,PIURA,PIURA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. EL HUALTACO,1,400.0,PIURA,PIURA,TRAMITE,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
EMPRESA DE SERVICIOS GENERALES CHILIMASA E.I.R.L.,1,100.0,PIURA,SULLANA,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
ALGARROBAL SECO AGREGADOS Y SERVICIOS GENERALES S.A.C.,1,100.0,PIURA,SULLANA,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
CORPORACION LARD SERVICIOS GENERALES E.I.R.L.,1,100.0,PIURA,SULLANA,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
POTONGOS S.A.C.,1,300.0,PIURA,PIURA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
RECUPERADA S.A.C.,1,1000.0,PIURA,SULLANA,TRAMITE,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. PAMPA HERMOSA 2016,1,100.0,PIURA,TALARA,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
COMPAÑIA BORAS S.A.,1,200.0,PIURA,PAITA,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
EXPLORACIONES BEZAGO S.A.C.,1,200.0,PIURA,AYABACA,TRAMITE,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. SAN SEBASTIAN DE SUYO,1,300.0,PIURA,AYABACA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
NEGOCIOS Y SERVICIOS MULTIPLES SAN FRANCISCO S.A.C.,1,200.0,PIURA,SECHURA,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
JA&TA INVERSIONES S.A.C,1,800.0,PIURA,AYABACA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. MINERA JULCA,1,100.0,PIURA,SECHURA,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
INVERSIONES RIO INAMBARI SOCIEDAD COMERCIAL DE RESPONSABILID,1,100.0,PIURA,SECHURA,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
ROJO ASOCIADOS SOCIEDAD ANONIMA CERRADA,1,100.0,PIURA,PAITA,TRAMITE,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. MINERA TITO I,1,200.0,PIURA,AYABACA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
COMPAÑIA MINERA LA CIMA SAC,1,900.0,PIURA,PIURA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
PROYECTOS DESARROLLADOS SAC,1,282.3,PIURA,PAITA,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. GEDY 2,1,300.0,PIURA,AYABACA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
ANDREA COMERCIAL S.A,1,100.0,PIURA,SULLANA,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. TEODORITA II,1,400.0,PIURA,AYABACA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
WONDER COMPANY S.A.C.,1,200.0,PIURA,PAITA,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
GREEN ROCK COPPER S.A.C.,1,600.0,PIURA,HUANCABAMBA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
MINERIA&CONSTRUCCION SERVICIOS GENERALES PIURA S.A.C.,1,200.0,PIURA,PAITA,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
CEG INVERSIONES MINERAS SOCIEDAD ANONIMA CERRADA,1,100.0,PIURA,PIURA,TRAMITE,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
MINERALES DE AYABACA S.A.C,1,8.7,PIURA,PIURA,OTROS,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
INVERSIONES JAVERAL EIRL,1,200.0,PIURA,PIURA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. LUZ DORADA,1,600.0,PIURA,AYABACA /  SULLANA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. SAN LUIS A,1,200.0,PIURA,SULLANA,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
GRUPO MINERO RUBI S.A.C.,1,100.0,PIURA,PIURA,TRAMITE,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
PARCASH CONTRATISTAS GENERALES S.A.C.,1,500.0,PIURA,PIURA,TRAMITE,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
SALEMAN CONSULTORES S.A.C.,1,348.0,PIURA,AYABACA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
CUANTICA INVERSIONES S.A.C.,1,800.0,PIURA,AYABACA /  PIURA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
MINERALES GRAN CHIMU S.A.C,1,400.0,PIURA,AYABACA,TRAMITE,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
MINERIA Y AGRO REY LEON S.A.C,1,400.0,PIURA,AYABACA,TRAMITE,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
SEPTIEMBRE INVERSIONES E.I.R.L.,1,100.0,PIURA,AYABACA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
CAUTIVO DE PAMPA LARGA S.A.C.,1,600.0,PIURA,AYABACA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. GRANODEOROUNIDOS,1,600.0,PIURA,SECHURA,EXTINGUIDO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
METALES DE PAMPA LARGA S.A.C.,1,100.0,PIURA,AYABACA,TRAMITE,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. CUATRO ASES,1,400.0,PIURA,AYABACA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
TRANSPORTES Y ABASTECIMIENTOS SAN MARTIN S.A.C,1,100.0,PIURA,PIURA,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. ALQAMARI & RGLL 2022,1,200.0,PIURA,AYABACA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
GISELLA FLORES EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITAD,1,200.0,PIURA,PIURA,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
SERVICIOS BIOINSUMOS SOCIEDAD ANONIMA CERRADA,1,200.0,PIURA,PIURA,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. EL CONDOR DOS AYABACA,1,1000.0,PIURA,AYABACA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
INVERSIONES LAMB EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMIT,1,100.0,PIURA,PAITA,TRAMITE,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
COMERCIAL CHEC IMPORT EXPORT S.A.C.,1,100.0,PIURA,SULLANA,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
INVERSIONES EMPRESARIALES SAN PEDRO SOCIEDAD ANONIMA CERRADA,1,200.0,PIURA,AYABACA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
CONSTRUCTORA MAGNUM M&M EIRL,1,100.0,PIURA,MORROPON,TRAMITE,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
METALFIZ E.I.R.L,1,11.8,PIURA,MORROPON,OTROS,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. HIERRO FERRUGINOSO III,1,500.0,PIURA,PIURA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. MINERA SOL DE PIURA SAC,1,600.0,PIURA,PIURA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
GLOBAL STAR GOLD S.A.,1,5.3,PIURA,AYABACA,OTROS,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
POMAFORT S.A.C.,1,12.9,PIURA,PIURA,OTROS,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
CONSORCIO INMOBILIARIO MONTEVIDEO SAC,1,200.0,PIURA,SECHURA,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
JBP GLOBAL COMPANY E.I.R.L.,1,400.0,PIURA,PIURA,TRAMITE,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
CONSTRUCTORA E INMOBILIARIA HUANGAR S.A.C.,1,200.0,PIURA,PIURA,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. GOLDEN EAGLE,1,400.0,PIURA,AYABACA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. GOLDEN MEN SOCIETY 1,1,100.0,PIURA,AYABACA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
COOPERATIVA AGRARIA DE USUARIOS LA TINA LTDA,1,900.0,PIURA,AYABACA,TITULADO,METALICA-ORO,,,,,,INGEMMET - Catastro Minero (zona 17S),,
GRUPO CONSTRUCTOR H&H S.C.R.L.,1,100.0,PIURA,MORROPON,TRAMITE,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. DOS HERMANOS DE DIOS I,1,300.0,PIURA,PIURA,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
YOANNI CONSTRUCTORES Y SERVICIOS GENERALES E.I.R.L,1,100.0,PIURA,PAITA,TRAMITE,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. ECO GOLD CUCHICORRAL,1,200.0,PIURA,AYABACA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
KEFRAYEB S.A.C.,1,100.0,PIURA,PIURA,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
GRUPO MINERO SANTA LUCIANA SAC,1,1000.0,PIURA,AYABACA,TRAMITE,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
NEGOCIOS Y SERVICIOS J&V SOCIEDAD ANONIMA CERRADA,1,200.0,PIURA,PIURA,TRAMITE,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
MINERALES & DERIVADOS SUDAMERICANA S.A.C.,1,1000.0,PIURA,SECHURA,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
PERFODRIL SOCIEDAD ANONIMA CERRADA,1,100.0,PIURA,PAITA /  SULLANA,TRAMITE,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
COVA CONTRATISTAS GENERALES S.A.C.,1,300.0,PIURA,SULLANA,TRAMITE,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
IMPORTACIONES QURI PERU S.A.C,1,200.0,PIURA,SECHURA,TRAMITE,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
PERU METALS JIN S.A.C.,1,100.0,PIURA,AYABACA,TRAMITE,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
NEGOCIOS Y SERVICIOS GENERALES MARIAN ANGELINE E.I.R.L.,1,200.0,PIURA,SULLANA,TRAMITE,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
EMPRESA MINERA IRRSSA S.A.C.,1,200.0,PIURA,AYABACA,TRAMITE,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
ROBAGO NEGOCIACIONES METALURGICAS EMPRESA INDIVIDUAL DE RESP,1,300.0,PIURA,AYABACA,TRAMITE,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
CORPORACION HT HNOS SAC,1,200.0,PIURA,PAITA,TRAMITE,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
INMOBILIARIA BONAVENTURA E.I.R.L.,1,200.0,PIURA,AYABACA,TRAMITE,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
CORPORACIÓN VALLE DEL NORTE SRL,1,200.0,PIURA,MAR /  TALARA,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. SALINAS BREA,1,200.0,PIURA,MAR /  TALARA,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
CORPORACION EL FRONTERIZO S.A.C.,1,938.6,PIURA,AYABACA /  FUERA DEL PERU,TRAMITE,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
MINERALES HAMON E.I.R.L.,1,1000.0,PIURA /  TUMBES,CONTRALMIRANTE VILLAR /  TALARA,TRAMITE,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
